File Name,Positive Score,Negative Score
2024-05-08News.txt,0.9974275231361389,0.002572472672909498
2024-05-04News.txt,0.1387905329465866,0.8612094521522522
2024-05-23News.txt,0.9997195601463318,0.00028045204817317426
2024-05-27News.txt,0.9999145269393921,8.546165918232873e-05
2024-04-13News.txt,0.9997621178627014,0.00023788146791048348
2024-04-17News.txt,0.9992934465408325,0.0007064791861921549
2024-03-25News.txt,0.9995834231376648,0.0004165625723544508
2024-03-29News.txt,0.9986538887023926,0.0013461147900670767
2024-04-30News.txt,0.9997557997703552,0.00024423748254776
2024-04-06News.txt,0.1387905329465866,0.8612094521522522
2024-04-02News.txt,0.9995443224906921,0.00045560652506537735
2024-04-21News.txt,0.9950106143951416,0.004989447072148323
2024-04-25News.txt,0.9995645880699158,0.0004354531120043248
2024-03-30News.txt,0.9998823404312134,0.0001176846562884748
2024-04-29News.txt,0.9996705055236816,0.00032946758437901735
2024-05-11News.txt,0.999864935874939,0.00013506125833373517
2024-05-15News.txt,0.1387905329465866,0.8612094521522522
2024-05-19News.txt,0.999688982963562,0.0003109992539975792
2024-04-07News.txt,0.1387905329465866,0.8612094521522522
2024-04-03News.txt,0.9986452460289001,0.001354723353870213
2024-03-31News.txt,0.9996374845504761,0.00036245386581867933
2024-04-28News.txt,0.9996110796928406,0.00038892924203537405
2024-04-20News.txt,0.1387905329465866,0.8612094521522522
2024-04-24News.txt,0.9999234676361084,7.653733337065205e-05
2024-05-18News.txt,0.9998449087142944,0.00015508689102716744
2024-05-10News.txt,0.1387905329465866,0.8612094521522522
2024-05-14News.txt,0.1387905329465866,0.8612094521522522
2024-05-05News.txt,0.9996556043624878,0.00034439173759892583
2024-05-01News.txt,0.1387905329465866,0.8612094521522522
2024-05-09News.txt,0.9998371601104736,0.00016281960415653884
2024-05-22News.txt,0.999687910079956,0.0003120795008726418
2024-05-26News.txt,0.1387905329465866,0.8612094521522522
2024-04-12News.txt,0.1387905329465866,0.8612094521522522
2024-04-16News.txt,0.9988691210746765,0.0011308003449812531
2024-03-28News.txt,0.9910731911659241,0.008926819078624249
2024-04-22News.txt,0.9972986578941345,0.0027014012448489666
2024-04-26News.txt,0.1387905329465866,0.8612094521522522
2024-04-09News.txt,0.9995416402816772,0.0004584123089443892
2024-04-05News.txt,0.1387905329465866,0.8612094521522522
2024-04-01News.txt,0.9998242259025574,0.00017576753452885896
2024-05-12News.txt,0.9997802376747131,0.000219806213863194
2024-05-16News.txt,0.9998167157173157,0.00018335574714001268
2024-05-20News.txt,0.9998194575309753,0.00018059037392959
2024-05-24News.txt,0.9994555115699768,0.0005444692797027528
2024-05-28News.txt,0.1387905329465866,0.8612094521522522
2024-05-07News.txt,0.9996082186698914,0.00039180307066999376
2024-05-03News.txt,0.9994226694107056,0.0005773836164735258
2024-03-26News.txt,0.1387905329465866,0.8612094521522522
2024-04-10News.txt,0.9996979236602783,0.0003020914155058563
2024-04-14News.txt,0.1387905329465866,0.8612094521522522
2024-04-18News.txt,0.9996670484542847,0.0003329713363200426
2024-05-21News.txt,0.9978109002113342,0.0021891065407544374
2024-05-25News.txt,0.1387905329465866,0.8612094521522522
2024-05-06News.txt,0.999817430973053,0.00018262292724102736
2024-05-02News.txt,0.9998646974563599,0.00013523019151762128
2024-03-27News.txt,0.1387905329465866,0.8612094521522522
2024-04-19News.txt,0.9996185302734375,0.00038141259574331343
2024-04-11News.txt,0.9997958540916443,0.00020419887732714415
2024-04-15News.txt,0.9596003293991089,0.04039971902966499
2024-04-23News.txt,0.9990811347961426,0.0009188735857605934
2024-04-27News.txt,0.9998236298561096,0.000176356261363253
2024-04-04News.txt,0.9984277486801147,0.001572285545989871
2024-04-08News.txt,0.9997850060462952,0.0002149703068425879
2024-05-13News.txt,0.1387905329465866,0.8612094521522522
2024-05-17News.txt,0.9997013211250305,0.00029863216332159936
